Name,Distillery/Brand,Region,Bottler,Country,Rating,Reviews,Alcohol Percentage,Price,Awards,Palate,Finish,Nose
Nc'nean Organic Single Malt Whisky,Nc'nean,Highland Whisky,Nc'nean,Scotch Whisky,,,"(70cl, 46%)",44.95,0,"Tangy tropical fruits aplenty here, with charred pineapple and drizzles of honey. Vanilla takes the lead bringing notes of creamy fudge, with hints of ginger and stewed berries resting beneath.","Dark chocolate, candied orange, buttered shortbread, and toasted, oaken spice.","Barley sugar sweeties and orange oil lead the way, with notes of apricot jam and summer berries joining. Biscuity malt rests beneath, with a touch of vanilla."
Royal Brackla 11 Year Old 2011 Single Cask (Master of Malt),Brackla,Highland Whisky,Master of Malt,Scotch Whisky,4.5,(3 Reviews),"(70cl, 60.6%)",49.95,0,"It makes a royal entrance with huge helpings of juicy oak and sweet, roasted barley. Maple syrup, praline and pepper tangle while vanilla cream and poached plums joined by creamy notes of Caramac.","Malt and spice take hold, with tickles of nutmeg and crystalised ginger, slightly burnt biscuits, chocolate toffees, and robust oak.","Gorgeously rich, sweet malt, chocolate caramel Digestive biscuits, honeyed almonds, and cherry Madeira cake. More cooked stone fruits join soft chocolate ice cream."
Glenmorangie 18 Year Old Extremely Rare,Glenmorangie,Scotch Whisky,Glenmorangie,Scotch Whisky,4.5,(133 Reviews),"(70cl, 43%)",111.95,9,"Nose: Creamy and tangy notes of citrus, cinnamon, stewed fruits and caramel-drizzled pannacotta.
Palate: The palate is tropical and creamy with nectarines in yoghurt, acacia honey, peaches in cream and butterscotch.
Finish: Ends on tangy oak and grilled grapefruit with plenty of dark sugar caramelised on top…","Nose: Creamy and tangy notes of citrus, cinnamon, stewed fruits and caramel-drizzled pannacotta.
Palate: The palate is tropical and creamy with nectarines in yoghurt, acacia honey, peaches in cream and butterscotch.
Finish: Ends on tangy oak and grilled grapefruit with plenty of dark sugar caramelised on top…","Nose: Creamy and tangy notes of citrus, cinnamon, stewed fruits and caramel-drizzled pannacotta.
Palate: The palate is tropical and creamy with nectarines in yoghurt, acacia honey, peaches in cream and butterscotch.
Finish: Ends on tangy oak and grilled grapefruit with plenty of dark sugar caramelised on top…"
Glenfarclas 30 Year Old,Glenfarclas,Scotch Whisky,Glenfarclas,Scotch Whisky,5,(9 Reviews),"(70cl, 43%)",650,1,"Nose: Rich, dark. Smoky, sherry. Sugared peels, zesty. Rubbery.
Palate: Thick. Creamy sherry, buttery, spicy, malt loaf. Herbal, fresh.
Finish: Long, full, rubbery on the tail.","Nose: Rich, dark. Smoky, sherry. Sugared peels, zesty. Rubbery.
Palate: Thick. Creamy sherry, buttery, spicy, malt loaf. Herbal, fresh.
Finish: Long, full, rubbery on the tail.","Nose: Rich, dark. Smoky, sherry. Sugared peels, zesty. Rubbery.
Palate: Thick. Creamy sherry, buttery, spicy, malt loaf. Herbal, fresh.
Finish: Long, full, rubbery on the tail."
Wormtub 12 Year Old Single Cask,Wormtub,Speyside Whisky,Wormtub,Scotch Whisky,5,(2 Reviews),"(70cl, 58.3%)",74.95,0,"Plenty of sherry influence, along with toasted walnuts, spiced biltong, and dried currants.",Long and savoury.,"The sherry character is amped up, with plenty of raisins, candied citrus, spicy fruitcake, and toasted oak."
Edradour 10 Year Old,Edradour,Highland Whisky,Edradour,Scotch Whisky,4,(96 Reviews),"(70cl, 40%)",43.90,0,"Cloying, seductive murkiness. Rum, barley, toasted almonds. Some may find themselves lost in the mêlée, not quite enough method to the madness.",spiced fruitcake with crème anglaise.,"Medium, great complexity. Thoroughly fruity, sherry, sweetness, alluring vanilla."
The Glenturret 12 Year Old (2021 Release),Glenturret,Highland Whisky,Glenturret,Scotch Whisky,4.5,(7 Reviews),"(70cl, 46%)",64.94,1,"Warming ginger, juicy sultanas with dustings of cinnamon, spiced apple crumble and zesty oak.","Toasty oak char, dry cakey spice with a silky, creamy texture.","Oily barley and toasted nuts mingle with sweet raisins, a whiff of malt loaf, and vanilla cream."
Tamdhu 12 Year Old,Tamdhu,Speyside Whisky,Tamdhu,Scotch Whisky,4.5,(24 Reviews),"(70cl, 43%)",45.90,3,"Lots of plum, juicy raisin, fried banana, raspberry jam doughnuts and oak spice.","Chocolate fudge and just a whisper of smoke, with sweet cinnamon returning.","Orange Starburst, cinnamon swirls and toasted oak, along with some mint chocolate."
The Macallan 18 Year Old Sherry Oak (2022 Release),The Macallan,Scotch Whisky,The Macallan,Scotch Whisky,3,(1 Review),"(70cl, 43%)",390.77,0,"Nose: Dried fruits and ginger with hints of vanilla and cinnamon.
Palate: Soft and rich, with hints of spice, clove, orange, and toasted mature oak.
Finish: Lingering with dried fruits, ginger, and orange zest.","Nose: Dried fruits and ginger with hints of vanilla and cinnamon.
Palate: Soft and rich, with hints of spice, clove, orange, and toasted mature oak.
Finish: Lingering with dried fruits, ginger, and orange zest.","Nose: Dried fruits and ginger with hints of vanilla and cinnamon.
Palate: Soft and rich, with hints of spice, clove, orange, and toasted mature oak.
Finish: Lingering with dried fruits, ginger, and orange zest."
Ardbeg Uigeadail,Ardbeg,Islay Whisky,Ardbeg,Scotch Whisky,4.5,(283 Reviews),"(70cl, 54.2%)",62.95,10,"Led by sweet, ripe fruit and black forest honey. A good helping of malt. The throne then usurped by a powerful peat and smoked barley.","Very long, caramel and malt weave their way through peat smoke and dark sugar and just a hint of fresh espresso coffee before it finally peters out.","Multifaceted, notes of peat and little flourishes of dark sugar, freshly ground espresso beans, cereal notes and a most sophisticated tar."
Laphroaig 16 Year Old,Laphroaig,Islay Whisky,Laphroaig,Scotch Whisky,4.5,(6 Reviews),"(70cl, 48%)",89,0,"Still rich in peat with a touch of iodine, following by a subtle floral whisper, fresh citrus, and honeyed barley.",Coastal salinity and the last embers of a bonfire.,"Roasted nuts and burning peat, with a slow build of maple syrup on pancakes and vanilla pod."
Filthy Smoke 10 Year Old,Filthy Smoke,Islay Whisky,Filthy Smoke,Scotch Whisky,4.5,(21 Reviews),"(50cl, 42.8%)",34.95,0,"Grilled tropical fruit with a touch of char, pink peppercorn, damp wood, flamed orange peel, still has that subtle spent match hint to it underneath.","Baked earth, five-spice, lasting smokiness with just a smidge of toffee apples on bonfire night.","Big, intense medicinal peat. Toasted granary bread with a later suggestion of raspberry jam, spent match, a hint of BBQ sauce sweetness and dry-rubbed ribs."
Seaweed & Aeons & Digging & Fire & Sherry Casks 10 Year Old,Seaweed & Aeons & Digging & Fire,Islay Whisky,Seaweed & Aeons & Digging & Fire,Scotch Whisky,5,(3 Reviews),"(70cl, 40%)",44.95,0,"Cinder toffee, cinnamon, peat still shining through, a slow build of red grape and jammy raisin, with some citrus lift. A subtle touch of singed hay later on.","Meaty malt returns, with warm oak in support. The red grape tannins continue and last on the finish.","Oatcakes, vegetal peat, hot Ribena, assorted BBQ meats, molasses, clove-studded orange, and just a hint of chocolate mousse."
Seaweed & Aeons & Digging & Fire & Sherry Casks & Cask Strength 10 Year Old (Batch 03),Seaweed & Aeons & Digging & Fire,Scotch Whisky,Seaweed & Aeons & Digging & Fire,Scotch Whisky,5,(4 Reviews),"(70cl, 56.4%)",79.95,0,"Dried fruit moves to the fore on the palate, with dried cherry and chewy raisin. Still powerfully smoky. A flash of cinnamon and caraway appears later on.","Seville orange marmalade, smoky peanut shells, a smidge of charred oak, chocolatey mocha.","Waves of vegetal peat arrive first, swiftly backed up by fruit cake and chocolate notes, plus a whisper of sea shell minerality."
Ledaig 18 Year Old,Tobermory,Island Whisky,Tobermory,Scotch Whisky,4.5,(32 Reviews),"(70cl, 46.3%)",84.94,4,"Grassy peat with sea breeze in tow, almond butter, lemon zest, biscuit dough, honeydew melon.",Toasted barley and salty liquorice.,"Honey, baked earth with a hint of mineraly smoke, very slightly chocolatey. Orange oil and tropical fruit juice in the background."
Ardbeg Heavy Vapours,Ardbeg,Scotch Whisky,Ardbeg,Scotch Whisky,2.5,(5 Reviews),"(70cl, 46%)",120,0,"Nose: It's so deep and earthy Alice might think it's a route into Wonderland. There's smouldering soil and rock pool salinity (almost bordering on chlorine), as well as a minty/eucalyptus quality that develops into After Eight mints. Cardamom follows, as well as sweetness from tinned peaches and treacle, as well as a strange funkiness akin to Gruyère. Interesting stuff.
Palate: You would think Ardbeg without the purifier would come out punching, but this is a more relaxed intensity. Thick ashy smoke drifts through a palate rich with dark chocolate, apples, charred honeyed meat, and a little cumin.
Finish: Old coffee, more chocolate, smouldering wood, and minty herbs.","Nose: It's so deep and earthy Alice might think it's a route into Wonderland. There's smouldering soil and rock pool salinity (almost bordering on chlorine), as well as a minty/eucalyptus quality that develops into After Eight mints. Cardamom follows, as well as sweetness from tinned peaches and treacle, as well as a strange funkiness akin to Gruyère. Interesting stuff.
Palate: You would think Ardbeg without the purifier would come out punching, but this is a more relaxed intensity. Thick ashy smoke drifts through a palate rich with dark chocolate, apples, charred honeyed meat, and a little cumin.
Finish: Old coffee, more chocolate, smouldering wood, and minty herbs.","Nose: It's so deep and earthy Alice might think it's a route into Wonderland. There's smouldering soil and rock pool salinity (almost bordering on chlorine), as well as a minty/eucalyptus quality that develops into After Eight mints. Cardamom follows, as well as sweetness from tinned peaches and treacle, as well as a strange funkiness akin to Gruyère. Interesting stuff.
Palate: You would think Ardbeg without the purifier would come out punching, but this is a more relaxed intensity. Thick ashy smoke drifts through a palate rich with dark chocolate, apples, charred honeyed meat, and a little cumin.
Finish: Old coffee, more chocolate, smouldering wood, and minty herbs."
