Name,Distillery/Brand,Region,Bottler,Country,Rating,Reviews,Capacity (cl),Alcohol Percentage %,Price,Awards,Palate,Finish,Nose,Alcohol Percentage
Nc'nean Organic Single Malt Whisky,Nc'nean,Scotland,Nc'nean,Scotch Whisky,0.0,0.0,70,46,44.95,0,"Tangy tropical fruits aplenty here, with charred pineapple and drizzles of honey. Vanilla takes the lead bringing notes of creamy fudge, with hints of ginger and stewed berries resting beneath.","Dark chocolate, candied orange, buttered shortbread, and toasted, oaken spice.","Barley sugar sweeties and orange oil lead the way, with notes of apricot jam and summer berries joining. Biscuity malt rests beneath, with a touch of vanilla.","(70cl, 46%)"
Royal Brackla 11 Year Old 2011 Single Cask (Master of Malt),Brackla,Scotland,Master of Malt,Scotch Whisky,4.5,3.0,70,60,49.95,0,"It makes a royal entrance with huge helpings of juicy oak and sweet, roasted barley. Maple syrup, praline and pepper tangle while vanilla cream and poached plums joined by creamy notes of Caramac.","Malt and spice take hold, with tickles of nutmeg and crystalised ginger, slightly burnt biscuits, chocolate toffees, and robust oak.","Gorgeously rich, sweet malt, chocolate caramel Digestive biscuits, honeyed almonds, and cherry Madeira cake. More cooked stone fruits join soft chocolate ice cream.","(70cl, 60.6%)"
Glenmorangie 18 Year Old Extremely Rare,Glenmorangie,Scotland,Glenmorangie,Scotch Whisky,4.5,133.0,70,43,111.95,9,"The palate is tropical and creamy with nectarines in yoghurt, acacia honey, peaches in cream and butterscotch.",Ends on tangy oak and grilled grapefruit with plenty of dark sugar caramelised on topâ¦,"Creamy and tangy notes of citrus, cinnamon, stewed fruits and caramel-drizzled pannacotta.","(70cl, 43%)"
Glenfarclas 30 Year Old,Glenfarclas,Scotland,Glenfarclas,Scotch Whisky,5.0,9.0,70,43,650.0,1,"Thick. Creamy sherry, buttery, spicy, malt loaf. Herbal, fresh.","Long, full, rubbery on the tail.","Rich, dark. Smoky, sherry. Sugared peels, zesty. Rubbery.","(70cl, 43%)"
Wormtub 12 Year Old Single Cask,Wormtub,Scotland,Wormtub,Scotch Whisky,5.0,2.0,70,58,74.95,0,"Plenty of sherry influence, along with toasted walnuts, spiced biltong, and dried currants.",Long and savoury.,"The sherry character is amped up, with plenty of raisins, candied citrus, spicy fruitcake, and toasted oak.","(70cl, 58.3%)"
Edradour 10 Year Old,Edradour,Scotland,Edradour,Scotch Whisky,4.0,96.0,70,40,43.9,0,"Cloying, seductive murkiness. Rum, barley, toasted almonds. Some may find themselves lost in the mÃªlÃ©e, not quite enough method to the madness.",spiced fruitcake with crÃ¨me anglaise.,"Medium, great complexity. Thoroughly fruity, sherry, sweetness, alluring vanilla.","(70cl, 40%)"
The Glenturret 12 Year Old (2021 Release),Glenturret,Scotland,Glenturret,Scotch Whisky,4.5,7.0,70,46,64.94,1,"Warming ginger, juicy sultanas with dustings of cinnamon, spiced apple crumble and zesty oak.","Toasty oak char, dry cakey spice with a silky, creamy texture.","Oily barley and toasted nuts mingle with sweet raisins, a whiff of malt loaf, and vanilla cream.","(70cl, 46%)"
Tamdhu 12 Year Old,Tamdhu,Scotland,Tamdhu,Scotch Whisky,4.5,24.0,70,43,45.9,3,"Lots of plum, juicy raisin, fried banana, raspberry jam doughnuts and oak spice.","Chocolate fudge and just a whisper of smoke, with sweet cinnamon returning.","Orange Starburst, cinnamon swirls and toasted oak, along with some mint chocolate.","(70cl, 43%)"
The Macallan 18 Year Old Sherry Oak (2022 Release),The Macallan,Scotland,The Macallan,Scotch Whisky,3.0,1.0,70,43,390.77,0,"Soft and rich, with hints of spice, clove, orange, and toasted mature oak.","Lingering with dried fruits, ginger, and orange zest.",Dried fruits and ginger with hints of vanilla and cinnamon.,"(70cl, 43%)"
Ardbeg Uigeadail,Ardbeg,Scotland,Ardbeg,Scotch Whisky,4.5,283.0,70,54,62.95,10,"Led by sweet, ripe fruit and black forest honey. A good helping of malt. The throne then usurped by a powerful peat and smoked barley.","Very long, caramel and malt weave their way through peat smoke and dark sugar and just a hint of fresh espresso coffee before it finally peters out.","Multifaceted, notes of peat and little flourishes of dark sugar, freshly ground espresso beans, cereal notes and a most sophisticated tar.","(70cl, 54.2%)"
